score_key,direction,threshold,f1,precision,recall,accuracy,tp,fp,tn,fn,pred_count
phase_count::Manual,high_is_c3,1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::Manual,low_is_c3,-1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::Reflection,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::Reflection,low_is_c3,-1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_mean::TestErrorSummary,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::TestErrorSummary,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::TestErrorSummary,low_is_c3,-0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::TestErrorSummary,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_mean::TestModification,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_low05::TestModification,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
phase_count::TestModification,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
role_low05::Chief Executive Officer,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
role_low05::Chief Product Officer,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
role_low05::Chief Technology Officer,high_is_c3,0.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
role_low05::Code Reviewer,low_is_c3,-1.0,0.055045871559633024,0.02830188679245283,1.0,0.02830188679245283,3,103,0,0,106
