score_key,direction,threshold,f1,precision,recall,accuracy,specificity,balanced_accuracy,tp,fp,tn,fn,n
high_low_gap_0_7_0_4,high_is_c3,-0.23076923076923078,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_gap_0_8_0_4,high_is_c3,-0.3076923076923077,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_7_0_2,high_is_c3,0.07692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_7_0_2,low_is_c3,-0.7692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_7_0_3,high_is_c3,0.038461538461538464,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_7_0_3,low_is_c3,-0.7692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_7_0_4,high_is_c3,0.0,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_7_0_4,low_is_c3,-0.7692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_8_0_3,high_is_c3,-0.07692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_8_0_4,high_is_c3,-0.07692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_8_0_5,high_is_c3,-0.07692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_9_0_3,high_is_c3,-0.07692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_low_half_penalty_0_9_0_4,high_is_c3,-0.11538461538461539,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_score_rate_0_1,high_is_c3,0.6428571428571429,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_score_rate_0_7,high_is_c3,0.23076923076923078,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
high_score_rate_0_8,high_is_c3,0.15384615384615385,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
low_score_rate_0_1,low_is_c3,-0.35714285714285715,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
low_score_rate_0_7,low_is_c3,-0.7692307692307693,0.6399999999999999,0.47058823529411764,1.0,0.4782608695652174,0.02702702702702703,0.5135135135135135,32,36,1,0,69
