recall_floor,score_key,eta2,f1,f2,accuracy,precision,recall,specificity,balanced_accuracy,auc_best_direction,direction,threshold,tp,fp,tn,fn,c2_mean,c0_mean,c2_n,c0_n
0.9,c0_vs_c2_lda_top_3_score,0.03691917628656687,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.593035343035343,high_is_c2,-0.5220374936818675,52,35,2,0,0.04098905258398041,-0.05760623606397106,52,37
0.9,c0_vs_c2_lda_top_5_score,0.0361051747154198,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.58991683991684,high_is_c2,-0.5680954320430704,52,35,2,0,0.04417326280292642,-0.06208134231762537,52,37
0.9,high_low_gap_0_8_0_4,0.02049646726254263,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.5691268191268192,high_is_c2,0.10989010989010989,52,35,2,0,0.31701411333764273,0.29164851664851665,52,37
0.9,high_low_half_penalty_0_8_0_3,0.020014093982417398,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.5634095634095634,high_is_c2,0.2032967032967033,52,35,2,0,0.35095268136840535,0.3317606755106755,52,37
0.9,high_low_half_penalty_0_8_0_4,0.01934635686924493,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.558991683991684,high_is_c2,0.2032967032967033,52,35,2,0,0.34888519757015235,0.32936982311982316,52,37
0.9,high_low_half_penalty_0_8_0_2,0.01796124358070008,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.558991683991684,high_is_c2,0.2032967032967033,52,35,2,0,0.35095268136840535,0.3328001765501766,52,37
0.9,high_low_half_penalty_0_9_0_3,0.011676781010674602,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.5574324324324325,high_is_c2,0.2032967032967033,52,35,2,0,0.31465926607329325,0.30271115896115897,52,37
0.9,c0_vs_c2_lda_top_74_score,0.15327934793788162,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.737006237006237,high_is_c2,-1.3123749679719947,52,36,1,0,0.17031645868947573,-0.23936367167169606,52,37
0.9,c0_vs_c2_lda_top_50_score,0.14636410889097448,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.7271309771309772,high_is_c2,-1.2857022646423808,52,36,1,0,0.16381079955398978,-0.2302205831569603,52,37
0.9,c0_vs_c2_lda_top_30_score,0.1281432686527532,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.7125779625779626,high_is_c2,-1.2083981906547643,52,36,1,0,0.14419946444324694,-0.20265870678510065,52,37
0.9,high_low_gap_0_8_0_3,0.021727090742781945,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5730249480249481,high_is_c2,0.10989010989010989,52,36,1,0,0.3211490809341488,0.2964302214302214,52,37
0.9,high_low_gap_0_8_0_2,0.018422173156925202,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5644490644490644,high_is_c2,0.10989010989010989,52,36,1,0,0.3211490809341488,0.2985092235092235,52,37
0.9,high_score_rate_0_8,0.013197342139885987,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5262474012474012,high_is_c2,0.24285714285714285,52,36,1,0,0.3807562818026619,0.3670911295911296,52,37
0.9,high_low_gap_0_9_0_3,0.01299430599422568,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.557952182952183,high_is_c2,0.10989010989010989,52,36,1,0,0.2848556656390367,0.26738070488070487,52,37
0.9,high_low_half_penalty_0_8_0_5,0.012824709203383884,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5501559251559252,high_is_c2,0.15178571428571427,52,36,1,0,0.33860703304990636,0.32183447183447184,52,37
0.9,high_low_gap_0_9_0_4,0.012165844932929552,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5563929313929314,high_is_c2,0.06071428571428572,52,36,1,0,0.28072069804253064,0.2625990000990001,52,37
0.9,high_low_half_penalty_0_9_0_4,0.011056613457896453,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5537941787941788,high_is_c2,0.15178571428571427,52,36,1,0,0.3125917822750402,0.30032030657030656,52,37
0.9,high_density_score_0_8,0.011006533162617793,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5332640332640333,high_is_c2,0.1598643469387755,52,36,1,0,0.2846425152967092,0.273556683935664,52,37
0.9,high_low_gap_0_8_0_5,0.010578879513296413,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5498960498960499,high_is_c2,0.06071428571428572,52,36,1,0,0.2964577842971508,0.27657781407781407,52,37
0.9,low_score_rate_0_2,0.007625805370898495,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5470374220374221,low_is_c2,0.19230769230769232,52,36,1,0,0.05960720086851309,0.06858190608190608,52,37
0.9,high_score_rate_0_9,0.006426894823954887,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5262474012474012,high_is_c2,0.23333333333333334,52,36,1,0,0.34446286650754976,0.33804161304161306,52,37
0.9,high_low_half_penalty_0_9_0_5,0.005843143660361106,0.7428571428571429,0.8783783783783784,0.5955056179775281,0.5909090909090909,1.0,0.02702702702702703,0.5135135135135135,0.5366424116424117,high_is_c2,0.15178571428571427,52,36,1,0,0.3023136177547942,0.2927849552849553,52,37
